month,retail_format,category,sales_thousand_ars,share_pct,is_observed,comparable_across_formats
2017-01-01,supermarkets,beverages,3514467.397929999,12.615253724103455,True,True
2017-02-01,supermarkets,beverages,3344456.9307400007,12.866165949498336,True,True
2017-03-01,supermarkets,beverages,3290739.3236800013,11.84571112697302,True,True
2017-04-01,supermarkets,beverages,3253288.2368399994,11.16653339516146,True,True
2017-05-01,supermarkets,beverages,2869437.410668201,10.259347602147626,True,True
2017-06-01,supermarkets,beverages,3103589.59878,10.653280475417715,True,True
2017-07-01,supermarkets,beverages,3325398.6558070006,10.664378169111812,True,True
2017-08-01,supermarkets,beverages,3261204.2832790003,10.467715441340113,True,True
2017-09-01,supermarkets,beverages,3488952.968447999,11.431129729071797,True,True
2017-10-01,supermarkets,beverages,3928861.097549999,12.10892915731117,True,True
2017-11-01,supermarkets,beverages,4297207.188262001,12.778284826748218,True,True
2017-12-01,supermarkets,beverages,6640857.415859998,16.290057756177927,True,True
2018-01-01,supermarkets,beverages,4222218.45492,12.9997580427328,True,True
2018-02-01,supermarkets,beverages,4356546.19885,13.727101751130425,True,True
2018-03-01,supermarkets,beverages,4597365.962020001,12.584734332706047,True,True
2018-04-01,supermarkets,beverages,4218613.15712,12.366314735193724,True,True
2018-05-01,supermarkets,beverages,3737570.42326,10.638302592185878,True,True
2018-06-01,supermarkets,beverages,4276518.98195,11.154717474605395,True,True
2018-07-01,supermarkets,beverages,4329776.745530002,11.02328821439824,True,True
2018-08-01,supermarkets,beverages,4440944.928766267,11.245202461182553,True,True
2018-09-01,supermarkets,beverages,4915662.833760006,12.31207323927256,True,True
2018-10-01,supermarkets,beverages,5367369.585849999,12.361442214948887,True,True
2018-11-01,supermarkets,beverages,5999482.304630001,13.376937373589936,True,True
2018-12-01,supermarkets,beverages,9591843.129960004,16.76779688598447,True,True
2019-01-01,supermarkets,beverages,5940722.932499999,13.075608870976058,True,True
2019-02-01,supermarkets,beverages,5900970.590900003,13.23320644196388,True,True
2019-03-01,supermarkets,beverages,5901419.921098999,11.556525388003745,True,True
2019-04-01,supermarkets,beverages,5437459.685239999,10.957890484513742,True,True
2019-05-01,supermarkets,beverages,5258910.247739997,10.356609529277772,True,True
2019-06-01,supermarkets,beverages,5602884.226260004,10.296879457166124,True,True
2019-07-01,supermarkets,beverages,5612874.21778,10.19697885710167,True,True
2019-08-01,supermarkets,beverages,6069725.943820001,10.171798027215813,True,True
2019-09-01,supermarkets,beverages,6372597.213819997,11.009006619102356,True,True
2019-10-01,supermarkets,beverages,7475899.072497,11.271517140589541,True,True
2019-11-01,supermarkets,beverages,8816995.300790003,12.976911735416536,True,True
2019-12-01,supermarkets,beverages,13299621.479150005,15.922990863312734,True,True
2020-01-01,supermarkets,beverages,8727149.313199999,12.441582486434987,True,True
2020-02-01,supermarkets,beverages,8876881.393720001,12.244914464936233,True,True
2020-03-01,supermarkets,beverages,8284935.992699999,9.658575613750397,True,True
2020-04-01,supermarkets,beverages,7039345.747440004,9.384593522560342,True,True
2020-05-01,supermarkets,beverages,7437048.07729,9.462552739082772,True,True
2020-06-01,supermarkets,beverages,7839895.916119998,10.021231431419654,True,True
2020-07-01,supermarkets,beverages,8048539.859389998,9.91923933881816,True,True
2020-08-01,supermarkets,beverages,8262233.87684,10.27488014414408,True,True
2020-09-01,supermarkets,beverages,8164340.136140003,10.595364467189045,True,True
2020-10-01,supermarkets,beverages,9900033.945949998,11.095672421264224,True,True
2020-11-01,supermarkets,beverages,11401050.50442,12.51576631618846,True,True
2020-12-01,supermarkets,beverages,19000862.430732105,16.407475787321008,True,True
2021-01-01,supermarkets,beverages,12982834.104759997,13.246764866416715,True,True
2021-02-01,supermarkets,beverages,12129210.025470003,13.048582668197048,True,True
2021-03-01,supermarkets,beverages,12468763.319620006,11.628501251307878,True,True
2021-04-01,supermarkets,beverages,11739913.65,10.98520934782808,True,True
2021-05-01,supermarkets,beverages,10758291.661590002,9.7267947838209,True,True
2021-06-01,supermarkets,beverages,11744001.500854194,10.099074978752629,True,True
2021-07-01,supermarkets,beverages,13755772.373499995,10.946944793074936,True,True
2021-08-01,supermarkets,beverages,13762712.181420002,11.024252569654676,True,True
2021-09-01,supermarkets,beverages,14164245.335670004,11.515435738673519,True,True
2021-10-01,supermarkets,beverages,17838460.219970006,12.697543793464533,True,True
